schemaname,tablename,indexname,indexdef
public,todox_ai_character,idx_todox_ai_character_status,CREATE INDEX idx_todox_ai_character_status ON public.todox_ai_character USING btree (status)
public,todox_ai_character,todox_ai_character_character_code_key,CREATE UNIQUE INDEX todox_ai_character_character_code_key ON public.todox_ai_character USING btree (character_code)
public,todox_ai_character,todox_ai_character_pkey,CREATE UNIQUE INDEX todox_ai_character_pkey ON public.todox_ai_character USING btree (id)
public,todox_ai_character_reference,idx_todox_ai_character_reference_character_id,CREATE INDEX idx_todox_ai_character_reference_character_id ON public.todox_ai_character_reference USING btree (character_id)
public,todox_ai_character_reference,idx_todox_ai_character_reference_customer_id,CREATE INDEX idx_todox_ai_character_reference_customer_id ON public.todox_ai_character_reference USING btree (customer_id)
public,todox_ai_character_reference,idx_todox_ai_character_reference_type,CREATE INDEX idx_todox_ai_character_reference_type ON public.todox_ai_character_reference USING btree (reference_type)
public,todox_ai_character_reference,todox_ai_character_reference_pkey,CREATE UNIQUE INDEX todox_ai_character_reference_pkey ON public.todox_ai_character_reference USING btree (id)
public,todox_ai_character_render,idx_todox_ai_character_render_character_id,CREATE INDEX idx_todox_ai_character_render_character_id ON public.todox_ai_character_render USING btree (character_id)
public,todox_ai_character_render,idx_todox_ai_character_render_customer_created_at,"CREATE INDEX idx_todox_ai_character_render_customer_created_at ON public.todox_ai_character_render USING btree (customer_id, created_at DESC)"
public,todox_ai_character_render,idx_todox_ai_character_render_customer_id,CREATE INDEX idx_todox_ai_character_render_customer_id ON public.todox_ai_character_render USING btree (customer_id)
public,todox_ai_character_render,idx_todox_ai_character_render_status,CREATE INDEX idx_todox_ai_character_render_status ON public.todox_ai_character_render USING btree (status)
public,todox_ai_character_render,todox_ai_character_render_pkey,CREATE UNIQUE INDEX todox_ai_character_render_pkey ON public.todox_ai_character_render USING btree (id)
public,todox_ai_character_render,todox_ai_character_render_render_code_key,CREATE UNIQUE INDEX todox_ai_character_render_render_code_key ON public.todox_ai_character_render USING btree (render_code)
public,todox_ai_provider,idx_todox_ai_provider_enabled,CREATE INDEX idx_todox_ai_provider_enabled ON public.todox_ai_provider USING btree (enabled)
public,todox_ai_provider,idx_todox_ai_provider_type,CREATE INDEX idx_todox_ai_provider_type ON public.todox_ai_provider USING btree (provider_type)
public,todox_ai_provider,todox_ai_provider_pkey,CREATE UNIQUE INDEX todox_ai_provider_pkey ON public.todox_ai_provider USING btree (id)
public,todox_ai_provider,todox_ai_provider_provider_code_key,CREATE UNIQUE INDEX todox_ai_provider_provider_code_key ON public.todox_ai_provider USING btree (provider_code)
public,todox_ai_provider_capability,idx_todox_ai_provider_capability_code,CREATE INDEX idx_todox_ai_provider_capability_code ON public.todox_ai_provider_capability USING btree (capability_code)
public,todox_ai_provider_capability,idx_todox_ai_provider_capability_default,"CREATE INDEX idx_todox_ai_provider_capability_default ON public.todox_ai_provider_capability USING btree (capability_code, is_default) WHERE ((is_default = true) AND (enabled = true))"
public,todox_ai_provider_capability,idx_todox_ai_provider_capability_enabled,CREATE INDEX idx_todox_ai_provider_capability_enabled ON public.todox_ai_provider_capability USING btree (enabled)
public,todox_ai_provider_capability,idx_todox_ai_provider_capability_provider_id,CREATE INDEX idx_todox_ai_provider_capability_provider_id ON public.todox_ai_provider_capability USING btree (provider_id)
public,todox_ai_provider_capability,todox_ai_provider_capability_pkey,CREATE UNIQUE INDEX todox_ai_provider_capability_pkey ON public.todox_ai_provider_capability USING btree (id)
public,todox_ai_provider_capability,uq_todox_ai_provider_capability,"CREATE UNIQUE INDEX uq_todox_ai_provider_capability ON public.todox_ai_provider_capability USING btree (provider_id, capability_code, model_name)"
public,todox_ai_provider_usage_log,idx_todox_ai_provider_usage_log_capability_id,CREATE INDEX idx_todox_ai_provider_usage_log_capability_id ON public.todox_ai_provider_usage_log USING btree (provider_capability_id)
public,todox_ai_provider_usage_log,idx_todox_ai_provider_usage_log_created_at,CREATE INDEX idx_todox_ai_provider_usage_log_created_at ON public.todox_ai_provider_usage_log USING btree (created_at)
public,todox_ai_provider_usage_log,idx_todox_ai_provider_usage_log_customer_id,CREATE INDEX idx_todox_ai_provider_usage_log_customer_id ON public.todox_ai_provider_usage_log USING btree (customer_id)
public,todox_ai_provider_usage_log,idx_todox_ai_provider_usage_log_job_id,CREATE INDEX idx_todox_ai_provider_usage_log_job_id ON public.todox_ai_provider_usage_log USING btree (job_id)
public,todox_ai_provider_usage_log,idx_todox_ai_provider_usage_log_provider_id,CREATE INDEX idx_todox_ai_provider_usage_log_provider_id ON public.todox_ai_provider_usage_log USING btree (provider_id)
public,todox_ai_provider_usage_log,idx_todox_ai_provider_usage_log_request_id,CREATE INDEX idx_todox_ai_provider_usage_log_request_id ON public.todox_ai_provider_usage_log USING btree (request_id)
public,todox_ai_provider_usage_log,todox_ai_provider_usage_log_pkey,CREATE UNIQUE INDEX todox_ai_provider_usage_log_pkey ON public.todox_ai_provider_usage_log USING btree (id)
public,todox_customer_credit_transaction,idx_todox_customer_credit_transaction_created_at,CREATE INDEX idx_todox_customer_credit_transaction_created_at ON public.todox_customer_credit_transaction USING btree (created_at)
public,todox_customer_credit_transaction,idx_todox_customer_credit_transaction_customer_id,CREATE INDEX idx_todox_customer_credit_transaction_customer_id ON public.todox_customer_credit_transaction USING btree (customer_id)
public,todox_customer_credit_transaction,idx_todox_customer_credit_transaction_source,"CREATE INDEX idx_todox_customer_credit_transaction_source ON public.todox_customer_credit_transaction USING btree (source_type, source_id)"
public,todox_customer_credit_transaction,todox_customer_credit_transaction_pkey,CREATE UNIQUE INDEX todox_customer_credit_transaction_pkey ON public.todox_customer_credit_transaction USING btree (id)
public,token_transactions,ix_token_transactions_customer_id_created_at,"CREATE INDEX ix_token_transactions_customer_id_created_at ON public.token_transactions USING btree (customer_id, created_at DESC)"
public,token_transactions,token_transactions_pkey,CREATE UNIQUE INDEX token_transactions_pkey ON public.token_transactions USING btree (id)
public,token_wallets,token_wallets_customer_id_key,CREATE UNIQUE INDEX token_wallets_customer_id_key ON public.token_wallets USING btree (customer_id)
public,token_wallets,token_wallets_pkey,CREATE UNIQUE INDEX token_wallets_pkey ON public.token_wallets USING btree (id)
render,image_render_requests,image_render_requests_pkey,CREATE UNIQUE INDEX image_render_requests_pkey ON render.image_render_requests USING btree (id)
render,image_render_requests,ix_image_render_requests_user,"CREATE INDEX ix_image_render_requests_user ON render.image_render_requests USING btree (user_id, created_at DESC)"
render,marketing_image_render_logs,marketing_image_render_logs_pkey,CREATE UNIQUE INDEX marketing_image_render_logs_pkey ON render.marketing_image_render_logs USING btree (id)
render,render_artifacts,ix_render_artifacts_job,CREATE INDEX ix_render_artifacts_job ON render.render_artifacts USING btree (render_job_id)
render,render_artifacts,render_artifacts_pkey,CREATE UNIQUE INDEX render_artifacts_pkey ON render.render_artifacts USING btree (id)
render,render_events,ix_render_events_job,CREATE INDEX ix_render_events_job ON render.render_events USING btree (render_job_id)
render,render_events,render_events_pkey,CREATE UNIQUE INDEX render_events_pkey ON render.render_events USING btree (id)
render,render_job_events,render_job_events_pkey,CREATE UNIQUE INDEX render_job_events_pkey ON render.render_job_events USING btree (id)
render,render_job_inputs,render_job_inputs_pkey,CREATE UNIQUE INDEX render_job_inputs_pkey ON render.render_job_inputs USING btree (id)
render,render_job_snapshots,ix_render_job_snapshots_tenant_created,"CREATE INDEX ix_render_job_snapshots_tenant_created ON render.render_job_snapshots USING btree (tenant_id, created_at DESC)"
render,render_job_snapshots,render_job_snapshots_pkey,CREATE UNIQUE INDEX render_job_snapshots_pkey ON render.render_job_snapshots USING btree (id)
