"sequence","script","started_at","completed_at","duration_ms","transaction_status","rows_affected","warnings","error_code","error_message"
"12","12_rebuild_dance_sell.sql","2026-07-22T14:57:08.1773294+07:00","2026-07-22T14:57:08.3336577+07:00","155","committed-or-readonly","see-script-output","psql.exe : psql:database/manual/ai-core-reset/12_rebuild_dance_sell.sql:5: NOTICE:  extension ""pgcrypto"" already  | psql:database/manual/ai-core-reset/12_rebuild_dance_sell.sql:6: NOTICE:  schema ""dance_sell"" already exists, skipping | psql:database/manual/ai-core-reset/12_rebuild_dance_sell.sql:8: NOTICE:  table ""dance_sell_reference_versions"" does ","",""
"13","13_indexes_constraints.sql","2026-07-22T14:57:08.3396578+07:00","2026-07-22T14:57:08.7176892+07:00","377","committed-or-readonly","see-script-output","","",""
"14","20_seed_preserved_providers.sql","2026-07-22T14:57:08.7199671+07:00","2026-07-22T14:57:09.2242396+07:00","504","failed-rolled-back","see-script-output","","3","psql.exe : psql:database/manual/ai-core-reset/20_seed_preserved_providers.sql:249: ERROR:  new row for relation "
"13","13_indexes_constraints.sql","2026-07-22T14:58:25.3297076+07:00","2026-07-22T14:58:25.6503258+07:00","315","committed-or-readonly","see-script-output","psql.exe : psql:database/manual/ai-core-reset/13_indexes_constraints.sql:14: NOTICE:  relation  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:16: NOTICE:  relation  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:20: NOTICE:  relation  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:22: NOTICE:  relation  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:26: NOTICE:  relation ""render_jobs_claim_ix"" already  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:29: NOTICE:  relation ""render_jobs_provider_task_ix""  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:31: NOTICE:  relation ""render_jobs_business_entity_ix""  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:33: NOTICE:  relation ""render_jobs_retry_ix"" already  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:35: NOTICE:  relation ""render_jobs_parent_ix"" already  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:37: NOTICE:  relation ""render_jobs_account_status_ix""  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:39: NOTICE:  relation ""render_job_steps_job_step_uk""  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:41: NOTICE:  relation ""render_job_events_job_created_ix""  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:44: NOTICE:  relation ""render_job_events_task_ix""  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:46: NOTICE:  relation ""render_job_inputs_unique_ix""  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:48: NOTICE:  relation ""render_artifacts_unique_ix""  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:52: NOTICE:  relation  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:55: NOTICE:  relation  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:57: NOTICE:  relation  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:59: NOTICE:  relation  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:62: NOTICE:  relation  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:65: NOTICE:  relation  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:67: NOTICE:  relation  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:69: NOTICE:  relation  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:72: NOTICE:  relation ""ai_provider_attempts_task_ix""  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:75: NOTICE:  relation  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:77: NOTICE:  relation ""dance_sell_jobs_motion_render_ix""  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:79: NOTICE:  relation  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:81: NOTICE:  relation  | psql:database/manual/ai-core-reset/13_indexes_constraints.sql:84: NOTICE:  relation ","",""
"14","20_seed_preserved_providers.sql","2026-07-22T14:58:25.7773845+07:00","2026-07-22T14:58:26.4751852+07:00","698","committed-or-readonly","see-script-output","","",""
"15","21_seed_provider_accounts.sql","2026-07-22T14:58:26.4803130+07:00","2026-07-22T14:58:26.8820326+07:00","401","committed-or-readonly","see-script-output","","",""
"16","22_seed_dance_sell_models.sql","2026-07-22T14:58:26.8850324+07:00","2026-07-22T14:58:27.2800380+07:00","395","committed-or-readonly","see-script-output","","",""
"17","30_verify_schema.sql","2026-07-22T14:58:27.2820376+07:00","2026-07-22T14:58:27.4926139+07:00","210","committed-or-readonly","see-script-output","","",""
"18","31_verify_provider_seed.sql","2026-07-22T14:58:27.4946209+07:00","2026-07-22T14:58:27.6238241+07:00","129","committed-or-readonly","see-script-output","","",""
"19","32_verify_runtime_contract.sql","2026-07-22T14:58:27.6259558+07:00","2026-07-22T14:58:27.7222571+07:00","95","committed-or-readonly","see-script-output","","",""
