"provider_code","before_enabled","after_enabled","before_name","after_name","status"
"openrouter","t","t","OpenRouter","OpenRouter","preserved"
"image_ai_creative_render","t","t","ImageAICreativeRender","ImageAICreativeRender","preserved"
"yescale_task_image","t","t","YEScale Task Image","YEScale Task Image","preserved"
"yescale_task_video","t","t","YEScale Task Video","YEScale Task Video","preserved"
"kie","f","t","KIE","KIE","preserved"
