id,provider_code,provider_name,provider_type,base_url,api_key_config_name,auth_type,enabled,is_system,priority,description,config_json,created_by,updated_by,created_at,updated_at
1,openrouter,OpenRouter,external_api,https://openrouter.ai/api/v1,OpenRouter__ApiKey,bearer,t,t,10,OpenRouter unified AI API provider for image and video generation models.,"{""headers"": {""appTitleConfigName"": ""OpenRouter:AppTitle"", ""httpRefererConfigName"": ""OpenRouter:HttpReferer""}, ""imageEndpoint"": ""/images"", ""videoEndpoint"": ""/videos"", ""defaultImageModel"": ""bytedance-seed/seedream-4.5"", ""defaultVideoModel"": ""google/veo-3.1""}",,2dd9c112-3275-43fc-adcd-bf7d6b802576,2026-07-08 12:59:23.863253,2026-07-14 01:27:15.584613
2,image_ai_creative_render,ImageAICreativeRender,internal_api,,,custom,t,t,20,Internal TodoX image/avatar creative render provider.,{},,,2026-07-08 12:59:31.38113,2026-07-08 12:59:31.38113
4,yescale_task_image,YEScale Task Image,external_api,https://api.yescale.io,AiProviders__YEScale__AccessKey,bearer,t,t,40,YEScale async task image provider. Credentials must come from secret store/environment.,"{""protocol"": ""yescale_task"", ""submit_endpoint"": ""/task/submit"", ""mcp_verified_at_utc"": ""2026-07-15T18:53:03.6516197Z"", ""poll_endpoint_template"": ""/task/{task_id}"", ""poll_terminal_statuses"": [""SUCCESS"", ""FAILURE""]}",manual_sql,manual_sql,2026-07-16 00:41:25.405407,2026-07-16 15:50:35.70991
6,yescale_task_video,YEScale Task Video,external_api,https://api.yescale.io,AiProviders__YEScale__AccessKey,bearer,t,t,45,YEScale async task video provider. Runtime credential comes from environment.,"{""protocol"": ""yescale_task"", ""submit_endpoint"": ""/task/submit"", ""poll_endpoint_template"": ""/task/{task_id}"", ""poll_terminal_statuses"": [""SUCCESS"", ""FAILURE"", ""CANCELLED"", ""EXPIRED""]}",manual_sql_omni_flash,manual_sql_omni_flash,2026-07-20 08:25:31.091224,2026-07-20 08:25:31.091224
7,kie,KIE,external_api,https://api.kie.ai,KIE_API_KEY,bearer,f,t,80,KIE provider for Kling motion-control video. Phase 1 disabled by default; API key must come from environment/secret store.,"{""phase"": ""phase1_no_billing"", ""feature_code"": ""dance_sell"", ""poll_endpoint"": ""/api/v1/jobs/recordInfo"", ""submit_endpoint"": ""/api/v1/jobs/createTask"", ""max_concurrent_tasks"": 100, ""rate_limit_requests_per_10s"": 20}",,,2026-07-21 16:01:19.757979,2026-07-21 16:01:19.757979
